"","CountyName","avg_CO","avg_CO_rate","sum_CO","n","CO_rate2","Customers_Served","avg_CO_rate2","ifelse(avg_CO_rate2 == avg_CO_rate, TRUE, FALSE)","RPL_THEMES","GEOID","X","count_nf","pct_pov","pct_unemp","pct_no_HS","number_over_65","pct_over_65","pct_under_17","pct_with_disability","pct_single_parent","pct_black","pct_asian","pct_white","pct_hispanic","pct_english_def","pct_multi_unit","pct_mobile_home","pct_overcrowded","pct_no_vehicle","pct_over65_alone","pct_insured","pct_own_occ","pct_SS","pct_PA_FS","tot_pop","median_HH_inc","median_home_value","RUCC_2013","X2013.code","Beneficiaries","EDB","count_hosp","EDB_per_65","pct_renter_occ","urban_rural","POP_DENSITY"
"1","Anderson",1241.94170585057,0.0556199387482138,438405.422165251,353,0.0556199387482138,22329.0735984576,0.0556199387482138,FALSE,0.6206,48001,1,5,14.5949511302992,1.33633539725228,18.6604235495448,8278,14.3193219166234,19.4568413769244,14.8279124245428,7.84313725490196,20.9496626881162,0.555267254800208,58.9327106037018,17.7875800034596,2.61846069569981,8.4928697011135,23.3102168392264,3.08208910475505,5.74443844816214,24.861077554965,85.548247589873,69.5928524314925,39.2096899922048,11.4349103555795,57810,43455,101900,7,5,10906,630,2,7.61053394539744,30.4071475685075,0,21.0050042
"2","Andrews",252.662889518414,0.033860989029176,89190,353,0.033860989029176,7461.76933286589,0.033860989029176,FALSE,0.3794,48003,2,1,8.93594114480531,2.42521612730472,27.7476635514019,1810,10.0354845863828,31.5369261477046,9.9481692024745,5.45487170285304,0.676424927921934,0.360390330450211,40.175205145265,56.2818806830783,9.08098271155596,6.90914866581957,19.440914866582,7.73371613134757,2.38650636999821,19.8342541436464,80.215125675751,74.1073030683653,20.8684729947963,6.71092768706262,18036,76158,143900,6,5,2164,106,1,5.85635359116022,25.8926969316347,0,4.640261084
"3","Angelina",4879.05949145891,0.117417164237601,1722308.00048499,353,0.117417164237601,41553.2049606124,0.117417164237601,TRUE,0.9051,48005,3,8,16.0592879007572,3.85551827548324,18.0707114797032,13847,15.8574013421589,25.7071528366277,18.1551633143728,9.44417593040116,14.5976958841987,1.09594374842537,60.5025079590481,22.1318797095806,4.14921449891295,12.6049509777369,19.5818211364498,4.80103109392621,5.54212985339133,23.0374810428252,81.2044801501202,66.1543418720799,33.3687771870469,20.2481069759948,87322,50453,107600,5,5,17478,943,3,6.8101393803712,33.8456581279201,0,42.26080356
"4","Aransas",1963.13881630356,0.15356272971886,692988.002155156,353,0.15356272971886,12783.9536318327,0.15356272971886,TRUE,0.5968,48007,4,2,16.9878508588186,3.85139078000389,15.5442443226312,6711,27.4343880304145,18.7597089363094,19.8978956543394,4.92249685798073,1.37764696263593,1.99901888643611,67.3943258932221,27.4752677622435,2.85089599588442,15.3603464274667,18.1441385709867,4.35693338919145,4.51403435274403,23.9755625093131,80.0481467646204,80.1948051948052,50.2094679514034,14.6522832006703,24462,45137,156800,2,3,6760,281,0,4.18715541648041,19.8051948051948,1,37.46916772
"5","Archer",285.079320893884,0.0616796857104163,100633.000275541,353,0.0616796857104163,4621.93212579455,0.0616796857104163,FALSE,0.004,48009,220,0,11.5295480880649,1.81766943779062,9.66270164575525,1702,19.5273061037173,21.7301514456173,15.1010976314269,4.72190034762457,0.871959614502065,0.172097292335934,88.3432767324461,8.28361633776962,1.23486682808717,4.16065416065416,10.3655603655604,2.11471610660487,4.66396292004635,27.3207990599295,87.0710571923743,83.6616454229432,37.4855156431054,8.40092699884125,8716,63835,146200,3,4,1324,102,0,5.99294947121034,16.3383545770568,1,3.725569374
"6","Armstrong",3.31444759206799,0.00356696550536205,1170,353,0.00356696550536205,929.206516599485,0.00356696550536205,FALSE,0.0119,48011,5,1,9.94236311239193,0.572883513685551,13.1428571428571,425,21.5408008109478,23.1120121642169,11.6291251964379,5.61959654178674,0.253421186011151,0,89.3563101875317,7.55195134313229,1.02425876010782,0.434310532030402,14.6579804560261,1.15273775216138,1.5850144092219,20.4705882352941,92.6663174436878,88.0403458213256,36.8876080691643,2.16138328530259,1973,72500,139700,2,3,414,34,0,8,11.9596541786744,1,0.837940778
"7","Atascosa",924.521921509377,0.0444166472837939,326356.23829281,353,0.0444166472837939,20814.7615375441,0.0444166472837939,TRUE,0.8221,48013,6,5,14.1515502380033,5.39455727703299,22.9232286596036,7099,14.3333064125343,27.4955580681635,11.6931788092959,8.42660491444745,0.27257308996931,0.349297367145857,33.2882409949927,64.3171539331287,4.30149702556057,5.72913846320464,32.7719716250609,9.10845233500579,5.69278270937862,21.3551204394985,82.0925922154103,75.331274926026,36.3437540203268,16.6988292808439,49528,55366,97900,1,2,8258,318,1,4.47950415551486,24.668725073974,1,15.68038144
"8","Austin",3018.32297929307,0.199478483899993,1065468.01169046,353,0.199478483899993,15131.0703805343,0.199478483899993,FALSE,0.2609,48015,7,3,11.715777364835,3.48891630855635,16.0415122312824,5577,18.7374008869776,23.9618330869507,13.5851871947911,5.10574285461464,8.73538502889397,0.372933745464319,62.206020696143,26.841150383013,4.84666523697191,8.61575538484712,16.305166440729,6.67197593133351,4.95531368905407,20.6204052357899,86.1265599565925,76.2144942925405,35.0588443500575,9.12308645252632,29764,66206,196300,1,2,7215,228,1,4.08821947283486,23.7855057074595,1,17.77585924
"9","Bailey",2.20087679525076,0.000800281017806727,776.909508723519,353,0.000800281017806727,2750.1299497051,0.000800281017806727,TRUE,0.7708,48017,8,1,8.90944498539435,1.56745661504012,23.0733192785196,985,13.8732394366197,29.0281690140845,13.0245389864963,8.95813047711782,0.464788732394366,0.802816901408451,35.4788732394366,62.1267605633803,11.3670581150256,10.5765407554672,11.610337972167,4.28432327166504,5.11197663096397,27.3096446700508,78.8296791055612,74.5861733203505,31.9863680623174,12.9990262901655,7100,52273,69700,7,6,1112,78,1,7.91878172588832,25.4138266796495,0,3.314895686
"10","Bandera",470.758522727273,0.0418617937515775,165707,352,0.0418617937515775,11245.5411137162,0.0418617937515775,FALSE,0.1818,48019,9,2,12.430051196571,2.30219634824028,10.6897775674397,5873,26.4370920549178,17.1460724735539,20.0580867671084,4.15525657816407,0.693225298221922,0.279090704478956,77.8257933828494,18.7936079225748,1.75405596049847,0.838222967309304,28.742665549036,2.80985831646625,1.33349208239076,19.4959986378342,82.7146487565801,85.0220264317181,48.8510536968687,8.20335754256459,22215,58661,174200,1,2,6837,258,0,4.39298484590499,14.9779735682819,1,10.84363708
